Recibe patrocinio,Funding
Coleccionista de arte,Culture
Contacta con otros coleccionistas de arte,Networking
Asistencia tecnica,Consultancy
Co-coordinacion mercado Tianquiskilitl,Management
Apoyo en actividades de monitoreo,Collaboration
Technical assistance on agricultural production,Agricultural/ecological training
Instalacion de refugios,Ecological conservation
Seguimiento de actividades de mercado,Market
Assistance in thesis and in chinampa certification studies,Education
Assistance in developing interviews,Education
Uso de espacio comun (terreno Tianquiskilitl),Social organization
Intercambio de info sobre productos y proyectos para crecer mercado,Collaboration
Intercambio de info sobre proyecto de restauracion en Xochi (refugios  bonos organicos  pesca sostenible  etc),Ecological conservation
Comunicacion sobre proyecto restauracion y recorridos para refugios,Ecological conservation
Proveer informacion sobre refugios potenciales,Ecological conservation
Evaluar perfil productor,Production
Informar sobre proyecto de restauracion,Ecological conservation
Coordinar gestion negociar propuestas y dar dictamen,Management
Trabajo en proyecto restauracion,Ecological conservation
Gestion sobre mantenimiento y uso del espacio comun,Management
Intercambio documentos e informes para proyecto restauracion,Ecological conservation
Capacitación y formación en administración,Financial/commercial training
Grupos productivos para venta,Production
Agro-ecoturismo,Tourism
Capacitación en organización social (herramientas administrativas),Financial/commercial training
Formación de grupos de agro-turismo,Tourism
Relaciones de confianza y comunicación,Networking
Renta de chinampa,Funding
Mutual collaboration,Collaboration
Capacitación futura productores San Mateo,Agricultural/ecological training
Colaboración mutua (ej. documental),Collaboration
Sentar bases de todo (capacitaciones),Training
Financiamiento,Funding
Proyectos capacitación,Agricultural/ecological training
Expediciones en Xochimilco,Tourism
Vinculacion con corporativos,Networking
Prestación de instalaciones para cursos,Collaboration
Clases actividades y recorridos por las chinampas a los niños de la zona,Education
Relación personal con Antr. Gustavo Cabrera (ej. carta aval),Networking
Financiamiento de proyectos,Funding
Contacto esporádico para proyectos,Collaboration
Investigadora principal de proyectos con Earthwatch,Research
Intercambio conocimiento,Collaboration
Socio,Networking
Asesoría y guía en dirección de proyectos,Consultancy
Apoyo (como recorridos) a sus alumnos,Education
Colaboración,Collaboration
Conexiones -los que han jalado la gente de Las Lomas,Networking
